Company,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,name,mileage_category,km_Driven_category
Maruti,2023,410000,10000,Petrol,Individual,Manual,"First Owner",19,999,71.01,96,5,"Maruti Alto 800 LXI Opt",Average,"Between 10k and 100k"
Skoda,2023,1350000,10000,Petrol,Individual,Manual,"First Owner",14,1956,167.67,350,5,"Skoda Slavia 1.0 TSI Ambition",Average,"Between 10k and 100k"
BMW,2023,5800000,1000,Diesel,Dealer,Automatic,"First Owner",18,998,118.35,172,5,"BMW 3 Series Gran Limousine 320Ld Luxury Line",Average,"Less than 10k"
MG,2023,2650000,10000,Electric,Dealer,Automatic,"First Owner",33,998,58.33,78,5,"MG ZS EV Exclusive",High,"Between 10k and 100k"
Tata,2023,715000,10000,Petrol,Individual,Manual,"First Owner",12,1451,141,250,5,"Tata Punch Adventure",Average,"Between 10k and 100k"
Maruti,2023,450000,30171,Petrol,Individual,Manual,"First Owner",19,999,71.01,96,5,"Maruti S-Presso VXi Plus",Average,"Between 10k and 100k"
Maruti,2022,425000,1994,Petrol,Dealer,Manual,"First Owner",19,999,113.98,178,5,"Maruti S-Presso LXi",Average,"Less than 10k"
Hyundai,2022,1895000,22000,Petrol,Individual,Automatic,"First Owner",12,1997,296.3,400,5,"Hyundai Creta SX Turbo",Average,"Between 10k and 100k"
Renault,2022,842000,6424,Petrol,Individual,Automatic,"First Owner",14,1956,167.67,350,5,"Renault Kiger RXT AMT Opt DT",Average,"Less than 10k"
Renault,2022,567000,5148,Petrol,Dealer,Manual,"First Owner",18,998,118.35,172,5,"Renault KWID CLIMBER",Average,"Less than 10k"
Mahindra,2022,1197000,5030,Diesel,Individual,Manual,"Second Owner",33,998,58.33,78,5,"Mahindra XUV300 W8 Diesel Sunroof",High,"Less than 10k"
Mahindra,2022,2275000,28000,Diesel,Individual,Automatic,"First Owner",12,1451,141,250,5,"Mahindra XUV700 AX5 Diesel AT",Average,"Between 10k and 100k"
Renault,2022,800000,10000,Petrol,Individual,Manual,"Second Owner",21,1197,81.8,113,5,"Renault Triber RXT",High,"Between 10k and 100k"
Hyundai,2021,1950000,8000,Diesel,Individual,Automatic,"First Owner",13,2993,265,620,5,"Hyundai Creta SX Diesel AT",Average,"Less than 10k"
Renault,2021,567000,5868,Petrol,Individual,Manual,"First Owner",18,998,118.35,172,5,"Renault KWID CLIMBER",Average,"Less than 10k"
Nissan,2021,850000,2963,Petrol,Individual,Manual,"First Owner",33,998,58.33,78,5,"Nissan Magnite XV Premium",High,"Less than 10k"
Renault,2021,785000,11192,Petrol,Individual,Manual,"Second Owner",12,1451,141,250,5,"Renault Triber RXZ",Average,"Between 10k and 100k"
Hyundai,2021,2975000,3600,Petrol,Dealer,Automatic,"First Owner",21,1197,81.8,113,5,"Hyundai Tucson Platinum AT",High,"Less than 10k"
Maruti,2021,358000,29751,Petrol,Dealer,Manual,"First Owner",19,999,71.01,96,5,"Maruti Alto 800 LXI Opt",Average,"Between 10k and 100k"
Hyundai,2021,977000,13522,Diesel,Individual,Manual,"First Owner",18,2198,182.38,450,5,"Hyundai i20 Sportz Diesel",Average,"Between 10k and 100k"
BMW,2020,7200000,5000,Diesel,Individual,Automatic,"First Owner",13,2993,265,620,7,"BMW X7 xDrive 30d DPE",Average,"Less than 10k"
Datsun,2020,450000,10000,Petrol,Individual,Manual,"First Owner",19,1198,67.05,104,5,"Datsun GO T Option",Average,"Between 10k and 100k"
Datsun,2020,350000,2136,Petrol,Individual,Manual,"First Owner",23,999,67,91,5,"Datsun RediGO 1.0 S",High,"Less than 10k"
Ford,2020,400000,5000,Petrol,Individual,Manual,"Second Owner",19,1194,94.68,120,5,"Ford Freestyle Titanium Petrol BSIV",Average,"Less than 10k"
Honda,2020,2125000,5500,Diesel,Dealer,Manual,"First Owner",27,1597,118,300,5,"Honda Civic ZX Diesel BSIV",High,"Less than 10k"
Honda,2020,2125000,5500,Diesel,Dealer,Manual,"First Owner",27,1597,118,300,5,"Honda Civic ZX Diesel BSIV",High,"Less than 10k"
Hyundai,2020,1050000,20000,Diesel,Individual,Manual,"First Owner",22,1396,88.7,219,5,"Hyundai Creta 1.4 EX Diesel",High,"Between 10k and 100k"
Hyundai,2020,1950000,2700,Diesel,Dealer,Automatic,"First Owner",17,1582,126.2,259,5,"Hyundai Creta 1.6 CRDi AT SX Plus",Average,"Less than 10k"
Hyundai,2020,720000,5000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus BSIV",Average,"Less than 10k"
Hyundai,2020,675000,5000,Petrol,Individual,Automatic,"First Owner",21,1197,81.86,113,5,"Hyundai Grand i10 Nios AMT Sportz",High,"Less than 10k"
Hyundai,2020,775000,2000,Petrol,Dealer,Manual,"First Owner",21,1197,81.86,113,5,"Hyundai Grand i10 Nios Sportz",High,"Less than 10k"
Hyundai,2020,330000,70000,Petrol,Individual,Manual,"Second Owner",19,1197,81.86,113,5,"Hyundai Grand i10 Sportz",Average,"Between 10k and 100k"
Hyundai,2020,500000,1000,Petrol,Individual,Manual,"First Owner",20,1086,68.07,99,5,"Hyundai Santro Magna",Average,"Less than 10k"
Hyundai,2020,360000,65000,Petrol,Individual,Manual,"Second Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT E",Average,"Between 10k and 100k"
Hyundai,2020,524000,32000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT SX",Average,"Between 10k and 100k"
Hyundai,2020,524000,32000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT SX",Average,"Between 10k and 100k"
Kia,2020,1900000,5000,Diesel,Dealer,Automatic,"First Owner",18,1493,113.4,250,5,"Kia Seltos HTX Plus AT D",Average,"Less than 10k"
Kia,2020,1900000,5000,Diesel,Dealer,Automatic,"First Owner",18,1493,113.4,250,5,"Kia Seltos HTX Plus AT D",Average,"Less than 10k"
Mahindra,2020,480000,44665,Diesel,Individual,Manual,"First Owner",25,1198,77,190,6,"Mahindra KUV 100 D75 K6 Plus",High,"Between 10k and 100k"
Mahindra,2020,550000,60000,Diesel,Individual,Manual,"First Owner",25,1198,77,190,6,"Mahindra KUV 100 D75 K8",High,"Between 10k and 100k"
Mahindra,2020,1500000,50000,Diesel,Individual,Manual,"First Owner",16,2179,140,320,7,"Mahindra Scorpio S11 4WD BSIV",Average,"Between 10k and 100k"
Mahindra,2020,830000,120000,Diesel,Individual,Manual,"First Owner",15,2179,152.87,360,7,"Mahindra XUV500 W7",Average,"Between 10k and 100k"
Maruti,2020,350000,5000,Petrol,Individual,Manual,"First Owner",22,796,47.3,69,5,"Maruti Alto 800 LXI",High,"Less than 10k"
Maruti,2020,350000,5000,Petrol,Individual,Manual,"First Owner",22,796,47.3,69,5,"Maruti Alto 800 LXI",High,"Less than 10k"
Maruti,2020,370000,16000,CNG,Individual,Manual,"First Owner",33,796,47.3,69,5,"Maruti Alto 800 LXI CNG",High,"Between 10k and 100k"
Maruti,2020,250999,30000,Petrol,Individual,Manual,"First Owner",22,796,47.3,69,5,"Maruti Alto 800 VXI",High,"Between 10k and 100k"
Maruti,2020,360000,5000,Petrol,Individual,Manual,"First Owner",22,796,47.3,69,5,"Maruti Alto 800 VXI",High,"Less than 10k"
Maruti,2020,370000,15000,Petrol,Individual,Manual,"First Owner",22,796,47.3,69,5,"Maruti Alto 800 VXI Plus",High,"Between 10k and 100k"
Maruti,2020,390000,6000,Petrol,Individual,Manual,"First Owner",24,998,67.05,90,5,"Maruti Alto K10 VXI",High,"Less than 10k"
Maruti,2020,749000,5500,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Baleno Alpha",High,"Less than 10k"
Maruti,2020,630000,5000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Baleno Delta",High,"Less than 10k"
Maruti,2020,650000,7300,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Baleno Delta",High,"Less than 10k"
Maruti,2020,475000,13000,Petrol,Individual,Manual,"First Owner",22,998,67.04,90,5,"Maruti Celerio VXI",High,"Between 10k and 100k"
Maruti,2020,250000,120000,Petrol,Individual,Manual,"Second Owner",22,998,67,90,5,"Maruti Celerio X ZXI",High,"Between 10k and 100k"
Maruti,2020,420000,25000,Petrol,Individual,Manual,"First Owner",22,998,67.04,90,5,"Maruti Celerio ZXI",High,"Between 10k and 100k"
Maruti,2020,550000,15000,Petrol,Individual,Manual,"First Owner",23,1197,88.5,113,5,"Maruti Dzire LXI",High,"Between 10k and 100k"
Maruti,2020,580000,70000,Petrol,Individual,Manual,"First Owner",23,1197,88.5,113,5,"Maruti Dzire VXI",High,"Between 10k and 100k"
Maruti,2020,700000,20000,Petrol,Individual,Manual,"First Owner",23,1197,88.5,113,5,"Maruti Dzire ZXI",High,"Between 10k and 100k"
Maruti,2020,415000,15000,Petrol,Individual,Manual,"First Owner",15,1196,73,101,5,"Maruti Eeco 5 Seater AC BSIV",Average,"Between 10k and 100k"
Maruti,2020,409999,35000,CNG,Individual,Manual,"First Owner",21,1196,61.7,85,5,"Maruti Eeco CNG 5 Seater AC",High,"Between 10k and 100k"
Maruti,2020,399000,5000,CNG,Individual,Manual,"First Owner",22,1196,61.7,85,5,"Maruti Eeco CNG 5 Seater AC BSIV",High,"Less than 10k"
Maruti,2020,600000,5000,Petrol,Individual,Automatic,"First Owner",21,1197,81.8,113,5,"Maruti Ignis Zeta AMT",High,"Less than 10k"
Maruti,2020,600000,5000,Petrol,Individual,Automatic,"First Owner",21,1197,81.8,113,5,"Maruti Ignis Zeta AMT",High,"Less than 10k"
Maruti,2020,654000,1000,Petrol,Individual,Automatic,"First Owner",21,1197,81.8,113,5,"Maruti Swift AMT VXI",High,"Less than 10k"
Maruti,2020,730000,1500,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift Dzire VXI 1.2",High,"Less than 10k"
Maruti,2020,445000,1000,Petrol,Individual,Manual,"First Owner",21,1197,81.8,113,5,"Maruti Swift LXI",High,"Less than 10k"
